12/10/2023,22.7,32.8
12/11/2023,24,32.9
12/12/2023,26,33
12/13/2023,24.5,34.4
12/14/2023,23.3,33.2
12/15/2023,24.4,30.6
12/16/2023,22.6,26.2
12/17/2023,21.7,28.4
12/18/2023,20,29.3
12/19/2023,20.6,26.9
12/20/2023,21.5,26.9
12/21/2023,19.1,27.4
12/22/2023,18.6,30.5
12/23/2023,23.1,29.8
12/24/2023,23.4,30
12/25/2023,22.3,27
12/26/2023,21.8,23
12/27/2023,19.6,21.4
12/28/2023,21.7,27.2
12/29/2023,19.7,24.4
12/30/2023,18.5,22.8
12/31/2023,14.5,25.8
1/1/2024,16.6,22.9
1/2/2024,17.2,26.1
1/3/2024,16.2,24.7
1/4/2024,16.3,23.2
1/5/2024,19.4,24.7
1/6/2024,18.4,24.9
1/7/2024,22,31.5
1/8/2024,19.5,30.7
1/9/2024,20.7,28.7
1/10/2024,21.7,30.3
1/11/2024,19.4,28.8
1/12/2024,20.3,28.4
1/13/2024,17.8,28.1
1/14/2024,19.3,30.7
1/15/2024,19.3,29.2
1/16/2024,22.8,28.3
1/17/2024,20.2,30.5
1/18/2024,18.6,23.8
1/19/2024,20.1,24.1
1/20/2024,21.8,28.8
1/21/2024,21.4,30
1/22/2024,21.5,30.4
1/23/2024,22.9,36.7
1/24/2024,26.2,38.6
1/25/2024,24.6,34.1
1/26/2024,23.3,31.2
1/27/2024,23,33.6
1/28/2024,25.7,33.5
1/29/2024,27.8,31.7
1/30/2024,24.8,30.9
1/31/2024,21.9,30.5
2/1/2024,19.8,29
2/2/2024,20.7,31.7
2/3/2024,24.9,34.6
2/4/2024,22.8,35
2/5/2024,23.3,34.1
2/6/2024,25.7,35.7
2/7/2024,24.1,29.9
2/8/2024,22.1,26.8
2/9/2024,22.6,26.5
2/10/2024,18.6,26.4
2/11/2024,21,26.3
2/12/2024,19.6,29
2/13/2024,18,25.5
2/14/2024,19.7,31.4
2/15/2024,21.2,27
2/16/2024,20.3,33.6
2/17/2024,23,30.8
2/18/2024,22.2,30
2/19/2024,21.9,31.9
2/20/2024,20.5,27.7
2/21/2024,18.9,23.4
2/22/2024,18.7,27.4
2/23/2024,19,26.8
2/24/2024,19.2,30
2/25/2024,20.8,27.6
2/26/2024,20.2,29.2
2/27/2024,19.1,27.5
2/28/2024,18.3,25.1
2/29/2024,20,27.5
3/1/2024,20,26.4
3/2/2024,22.2,31.4
3/3/2024,23.2,31.1
3/4/2024,22.6,32.1
3/5/2024,20.4,24.5
3/6/2024,16.1,24
3/7/2024,15.4,26.4
3/8/2024,16.9,30.8
3/9/2024,20.3,33
3/10/2024,20.5,30.7
3/11/2024,21,29.9
3/12/2024,21.7,30.6
3/13/2024,20.9,33.4
3/14/2024,20.1,31.2
3/15/2024,20.6,33.8
3/16/2024,19.6,31.6
3/17/2024,21.5,30.1
3/18/2024,26.1,33.7
3/19/2024,23.1,35.4
3/20/2024,27,37.6
3/21/2024,27.3,34.9
3/22/2024,24.6,30.4
3/23/2024,23,30.7
3/24/2024,23,31.5
3/25/2024,25.2,30.7
3/26/2024,26,32.5
3/27/2024,26,35.3
3/28/2024,22.3,28
3/29/2024,21.1,33
3/30/2024,21,33.1
3/31/2024,23.1,39
4/1/2024,22.8,35.9
4/2/2024,24,32.3
4/3/2024,22,28.6
4/4/2024,18.9,29.1
4/5/2024,19.8,28.8
4/6/2024,18.5,30.4
4/7/2024,19.3,26.9
4/8/2024,22.3,32.6
4/9/2024,24.9,32.8
4/10/2024,23.7,32.2
4/11/2024,21.8,29
4/12/2024,22.4,32.3
4/13/2024,23.1,32.6
4/14/2024,24.6,28.6
4/15/2024,21.7,33.7
4/16/2024,23.5,33.6
4/17/2024,26,36.2
4/18/2024,25.4,37.1
4/19/2024,25.4,39.4
4/20/2024,24.3,34.1
4/21/2024,23.4,36.7
4/22/2024,23.3,37.4
4/23/2024,26.3,34.1
4/24/2024,25.4,33
4/25/2024,27.1,34.3
